,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,0,Sunderland,12,0,0,0,0,C Foy,0,0,0,8,D,3,2012-08-18,Arsenal,E0,2,4,7,14,D,0,Arsenal_Sunderland_2012
1,0,Norwich,12,5,0,0,2,M Oliver,0,0,0,11,H,4,2012-08-18,Fulham,E0,2,9,6,11,H,3,Fulham_Norwich_2012
2,2,Tottenham,12,2,0,1,0,M Atkinson,0,0,2,8,H,12,2012-08-18,Newcastle,E0,6,4,3,6,D,5,Newcastle_Tottenham_2012
3,2,Swansea,11,0,0,5,0,L Probert,0,1,2,14,A,12,2012-08-18,QPR,E0,8,11,5,20,A,3,QPR_Swansea_2012
4,2,Stoke,9,1,1,1,0,K Friend,0,1,4,14,D,6,2012-08-18,Reading,E0,3,3,4,9,A,3,Reading_Stoke_2012
5,1,Liverpool,10,3,1,0,1,P Dowd,0,0,4,11,H,14,2012-08-18,West Brom,E0,7,10,7,15,H,3,West Brom_Liverpool_2012
6,0,Aston Villa,17,1,0,0,1,M Dean,0,0,1,8,H,10,2012-08-18,West Ham,E0,6,4,6,8,H,4,West Ham_Aston Villa_2012
7,1,Southampton,4,3,0,2,1,H Webb,0,0,2,6,H,9,2012-08-19,Man City,E0,6,15,7,20,H,3,Man City_Southampton_2012
8,2,Chelsea,16,0,0,2,0,M Jones,0,2,2,11,A,5,2012-08-19,Wigan,E0,3,4,7,12,A,1,Wigan_Chelsea_2012
9,1,Man United,12,1,0,0,0,A Marriner,0,0,2,11,H,12,2012-08-20,Everton,E0,7,7,6,16,D,8,Everton_Man United_2012
10,0,Reading,11,4,0,2,1,L Mason,0,2,2,14,H,7,2012-08-22,Chelsea,E0,5,11,1,23,A,5,Chelsea_Reading_2012
11,1,Everton,10,1,0,3,0,M Oliver,1,3,0,7,A,19,2012-08-25,Aston Villa,E0,11,3,1,7,A,9,Aston Villa_Everton_2012
12,1,Newcastle,8,2,0,0,2,P Dowd,0,0,0,10,H,11,2012-08-25,Chelsea,E0,5,6,2,11,H,3,Chelsea_Newcastle_2012
13,0,Fulham,12,3,0,2,3,K Friend,0,1,1,7,H,14,2012-08-25,Man United,E0,11,11,8,20,H,8,Man United_Fulham_2012
14,0,QPR,15,1,0,1,1,M Clattenburg,0,1,2,14,D,6,2012-08-25,Norwich,E0,4,4,6,13,D,2,Norwich_QPR_2012
15,0,Wigan,11,0,0,2,0,A Taylor,0,0,0,9,A,12,2012-08-25,Southampton,E0,8,9,10,14,D,3,Southampton_Wigan_2012
16,2,West Ham,13,3,0,0,2,M Atkinson,0,0,4,17,H,7,2012-08-25,Swansea,E0,6,7,5,10,H,4,Swansea_West Ham_2012
17,1,West Brom,8,1,0,1,0,M Dean,0,0,2,7,D,10,2012-08-25,Tottenham,E0,5,10,7,18,D,5,Tottenham_West Brom_2012
18,1,Man City,10,2,0,2,1,A Marriner,0,0,0,7,D,11,2012-08-26,Liverpool,E0,5,8,4,15,H,4,Liverpool_Man City_2012
19,2,Arsenal,9,0,0,0,0,L Mason,0,0,0,9,D,16,2012-08-26,Stoke,E0,6,4,0,7,D,11,Stoke_Arsenal_2012
20,2,QPR,12,3,0,1,1,C Foy,0,0,1,3,H,9,2012-09-01,Man City,E0,5,12,8,19,H,3,Man City_QPR_2012
