,LBD,WHA,IWD,GBH,WHH,GBA,B365H,BWD,B365AH,B365<2.5,LBH,LBAHH,BWH,BWA,B365D,SBD,SBH,WHD,GB>2.5,B365>2.5,IWA,LBAHA,LBA,SBA,GB<2.5,GBAHH,B365AHA,GBD,LBAH,GBAH,IWH,GBAHA,B365A,B365AHH,HomeTeam,AwayTeam,idGame
131,3.2,2.25,3.0,3.0,2.8,2.3,3.1,3.1,0.25,1.85,3.0,2.0,2.85,2.35,3.2,3.25,2.9,3.1,1.85,1.95,2.3,1.84,2.1,2.25,1.85,2.0,1.9,3.25,0.25,0.25,2.7,1.8,2.25,2.0,Crystal Palace,Newcastle,Crystal Palace_Newcastle_2004
132,3.25,4.0,3.2,1.85,1.9,4.5,1.83,3.2,-0.5,1.7,1.67,1.8,1.7,5.0,3.25,3.25,1.8,2.87,1.95,2.1,4.0,2.04,4.5,4.33,1.75,1.85,2.05,3.2,-0.5,-0.5,1.75,1.87,4.5,1.85,Everton,Fulham,Everton_Fulham_2004
133,4.0,8.0,4.0,1.35,1.36,9.0,1.33,4.0,-1.5,2.0,1.3,1.72,1.35,9.0,4.5,4.33,1.33,3.75,1.65,1.8,7.5,2.12,9.0,8.5,2.05,1.87,1.825,4.5,-1.25,-1.5,1.33,1.69,9.5,2.075,Man United,Charlton,Man United_Charlton_2004
134,3.2,2.5,3.0,2.6,2.5,2.6,2.5,3.2,0.0,1.66,2.38,1.76,2.45,2.65,3.2,3.2,2.38,3.1,1.95,2.15,2.7,2.08,2.6,2.75,1.75,1.75,2.15,3.25,0.0,0.0,2.3,2.05,2.75,1.75,Middlesbrough,Liverpool,Middlesbrough_Liverpool_2004
135,3.25,2.75,2.9,2.35,2.25,2.9,2.37,3.05,-0.25,1.66,2.2,1.98,2.35,2.85,3.1,3.2,2.3,3.2,1.95,2.15,2.8,1.86,2.75,2.88,1.75,2.0,1.825,3.25,-0.25,-0.25,2.3,1.75,3.0,2.075,Norwich,Southampton,Norwich_Southampton_2004
136,3.2,3.0,3.1,2.3,2.1,3.0,2.3,3.2,-0.25,1.7,2.0,2.14,2.1,3.2,3.25,3.2,2.1,3.2,1.95,2.1,3.2,1.78,3.2,3.25,1.75,2.0,1.8,3.25,-0.25,-0.25,2.0,1.8,3.0,2.1,Portsmouth,Man City,Portsmouth_Man City_2004
137,3.2,2.7,3.0,2.35,2.37,3.0,2.3,3.2,-0.25,1.61,2.2,2.06,2.3,2.8,3.1,3.2,2.25,3.0,2.0,2.25,2.9,1.78,2.8,3.0,1.71,2.05,1.825,3.1,-0.25,-0.25,2.2,1.75,3.1,2.075,Blackburn,Birmingham,Blackburn_Birmingham_2004
138,3.2,3.6,3.1,2.0,1.9,3.75,2.0,3.2,-0.5,1.66,1.73,,1.85,4.0,3.2,3.25,1.91,3.1,2.0,2.15,3.6,,4.33,3.75,1.71,2.0,1.875,3.2,,-0.5,1.85,1.73,3.75,2.025,Aston Villa,Tottenham,Aston Villa_Tottenham_2004
139,3.2,4.0,3.1,1.83,1.83,4.5,1.83,3.2,-0.5,1.66,1.73,1.84,1.65,5.5,3.25,3.25,1.85,3.0,2.0,2.15,3.8,2.0,4.33,4.0,1.71,1.83,2.05,3.25,-0.5,-0.5,1.8,1.89,4.5,1.85,Birmingham,Norwich,Birmingham_Norwich_2004
140,3.25,5.0,3.3,1.65,1.61,5.15,1.61,3.3,-0.75,1.8,1.62,1.76,1.7,4.75,3.4,3.4,1.62,3.3,1.85,2.0,4.4,2.08,5.0,5.5,1.85,1.9,2.075,3.6,-0.75,-0.75,1.65,1.9,6.0,1.825,Bolton,Portsmouth,Bolton_Portsmouth_2004
141,3.5,1.53,3.3,6.0,6.0,1.6,6.5,3.45,1.0,1.75,5.5,1.76,6.0,1.55,3.5,3.4,6.0,3.25,1.95,2.05,1.65,2.08,1.53,1.57,1.75,1.95,2.075,3.5,1.0,0.75,4.4,1.85,1.57,1.825,Charlton,Chelsea,Charlton_Chelsea_2004
142,3.2,4.0,3.1,1.91,1.83,4.0,1.9,3.2,-0.5,1.8,1.8,2.02,1.9,3.8,3.3,3.25,1.85,3.0,1.85,2.0,3.5,1.9,4.0,4.0,1.85,1.91,1.875,3.3,-0.5,-0.5,1.9,1.81,4.0,2.025,Fulham,Blackburn,Fulham_Blackburn_2004
143,3.2,2.8,3.0,2.35,2.2,2.9,2.3,3.1,-0.25,1.66,2.25,2.02,2.3,2.9,3.25,3.25,2.3,3.2,1.95,2.15,2.9,1.82,2.75,2.8,1.75,1.75,1.85,3.25,-0.25,0.0,2.2,2.05,3.0,2.05,Man City,Aston Villa,Man City_Aston Villa_2004
144,3.2,3.4,3.1,2.0,2.0,3.75,2.0,3.2,-0.5,1.7,1.83,2.0,1.9,3.8,3.2,3.2,2.0,3.0,2.0,2.1,3.5,1.84,3.75,3.5,1.71,2.0,1.85,3.2,-0.5,-0.5,1.9,1.73,3.75,2.05,Southampton,Crystal Palace,Southampton_Crystal Palace_2004
145,3.6,1.53,3.5,6.0,6.0,1.6,7.0,3.5,1.0,1.85,6.5,1.84,5.25,1.6,3.6,3.6,6.0,3.25,1.85,1.95,1.55,2.0,1.44,1.53,1.85,1.95,2.025,3.5,1.0,0.75,4.8,1.85,1.53,1.875,West Brom,Man United,West Brom_Man United_2004
146,3.2,2.1,3.0,3.05,3.1,2.25,3.4,3.2,0.25,1.75,2.75,2.04,3.2,2.1,3.25,3.25,2.9,3.1,1.9,2.05,2.2,1.8,2.25,2.25,1.79,2.0,1.85,3.25,0.25,0.25,2.9,1.8,2.1,2.05,Liverpool,Arsenal,Liverpool_Arsenal_2004
147,3.2,4.0,3.1,1.91,1.8,4.0,1.83,3.2,-0.5,1.85,1.8,1.86,1.85,4.0,3.25,3.25,1.91,3.1,1.85,1.95,3.5,1.98,4.0,3.75,1.85,1.91,2.025,3.3,-0.5,-0.5,1.9,1.81,4.5,1.875,Newcastle,Everton,Newcastle_Everton_2004
148,3.2,2.62,3.0,2.45,2.37,2.75,2.5,3.2,0.0,1.8,2.38,1.8,2.35,2.75,3.1,3.2,2.5,3.1,1.95,2.0,2.3,2.04,2.6,2.6,1.75,1.85,2.075,3.25,0.0,0.0,2.7,1.95,2.8,1.825,Tottenham,Middlesbrough,Tottenham_Middlesbrough_2004
149,4.33,8.0,4.0,1.35,1.28,9.0,1.33,4.5,-1.25,1.95,1.29,1.92,1.3,9.0,4.5,4.5,1.3,4.5,1.75,1.85,7.0,1.92,9.0,9.5,1.95,1.85,1.95,4.4,-1.25,-1.25,1.35,1.95,9.5,1.95,Arsenal,Birmingham,Arsenal_Birmingham_2004
150,3.2,2.6,3.0,2.5,2.4,2.8,2.5,3.1,-0.25,1.65,2.38,1.78,2.3,2.9,3.2,3.2,2.38,3.1,2.05,2.2,2.5,2.06,2.6,2.75,1.65,1.75,1.775,3.1,0.0,0.0,2.5,2.05,2.75,2.125,Aston Villa,Liverpool,Aston Villa_Liverpool_2004
151,3.2,2.7,3.0,2.45,2.37,2.85,2.5,3.0,-0.25,1.7,2.25,1.76,2.5,2.7,3.2,3.2,2.38,3.0,1.95,2.1,2.7,2.08,2.75,2.75,1.75,1.77,1.775,3.15,0.0,0.0,2.3,2.05,2.75,2.125,Blackburn,Tottenham,Blackburn_Tottenham_2004
152,3.75,6.5,3.9,1.5,1.44,7.0,1.44,3.5,-1.0,1.75,1.4,1.98,1.5,6.75,4.0,3.8,1.44,3.6,1.9,2.05,6.0,1.94,7.0,7.0,1.79,1.9,1.925,3.7,-1.0,-1.0,1.4,1.9,7.5,1.975,Chelsea,Newcastle,Chelsea_Newcastle_2004
153,3.2,3.6,3.1,2.1,2.0,3.4,2.0,3.1,-0.25,1.65,1.91,1.9,2.15,3.2,3.2,3.2,2.0,2.87,2.0,2.2,3.5,1.94,3.5,3.5,1.71,1.85,2.05,3.2,-0.25,-0.25,1.9,1.95,3.75,1.85,Everton,Bolton,Everton_Bolton_2004
154,5.0,9.5,5.0,1.25,1.22,11.0,1.22,5.5,-1.5,2.05,1.2,1.82,1.22,9.75,5.5,5.0,1.25,5.0,1.71,1.75,10.0,2.02,11.0,10.5,2.0,1.8,2.1,5.3,-1.5,-1.5,1.2,2.0,13.0,1.8,Man United,Southampton,Man United_Southampton_2004
155,3.25,2.8,3.0,2.4,2.3,2.95,2.37,3.1,0.0,1.8,2.2,2.04,2.45,2.7,3.25,3.2,2.3,3.0,2.0,2.0,2.9,1.8,2.75,2.88,1.71,1.8,2.15,3.1,-0.25,0.0,2.2,2.0,2.87,1.75,Norwich,Fulham,Norwich_Fulham_2004
156,3.5,4.33,3.1,1.9,1.83,4.1,1.83,3.2,-0.5,1.8,1.62,1.98,1.75,4.6,3.3,3.25,1.8,2.87,1.95,2.0,3.8,1.86,4.5,4.33,1.75,1.9,1.9,3.25,-0.5,-0.5,1.8,1.81,4.33,2.0,Portsmouth,West Brom,Portsmouth_West Brom_2004
157,3.2,2.75,3.0,2.4,2.3,2.9,2.37,3.2,0.0,1.7,2.38,1.8,2.4,2.7,3.2,3.2,2.38,3.1,1.95,2.1,2.7,2.04,2.6,2.75,1.75,1.8,2.075,3.15,0.0,0.0,2.3,2.0,2.9,1.825,Crystal Palace,Charlton,Crystal Palace_Charlton_2004
158,3.2,3.75,3.1,1.9,1.83,4.1,1.83,3.2,-0.5,1.75,1.8,1.98,1.85,4.0,3.25,3.2,1.83,3.2,1.95,2.05,3.6,1.86,4.0,4.2,1.75,1.9,1.9,3.25,-0.5,-0.5,1.85,1.81,4.5,2.0,Middlesbrough,Man City,Middlesbrough_Man City_2004
159,3.2,2.75,3.0,2.4,2.25,2.9,2.3,3.15,-0.25,1.66,2.2,2.06,2.15,3.15,3.25,3.2,2.3,3.2,2.0,2.15,2.6,1.78,2.8,3.0,1.71,2.05,1.8,3.15,-0.25,-0.25,2.4,1.75,3.0,2.1,Crystal Palace,Blackburn,Crystal Palace_Blackburn_2004
160,3.0,2.5,3.0,2.6,2.5,2.75,2.6,3.15,0.0,1.65,2.38,1.96,2.55,2.55,3.2,3.2,2.5,3.1,2.0,2.2,2.5,1.88,2.75,2.7,1.71,1.9,1.9,3.0,0.0,0.0,2.5,1.9,2.62,2.0,Everton,Liverpool,Everton_Liverpool_2004
161,3.2,2.9,3.0,2.15,2.15,3.25,2.1,3.2,-0.25,1.65,2.1,1.82,2.0,3.45,3.25,3.25,2.1,3.2,2.05,2.2,2.9,2.02,3.0,3.4,1.65,1.85,2.05,3.25,-0.25,-0.25,2.2,1.95,3.4,1.85,Man City,Tottenham,Man City_Tottenham_2004
162,3.5,5.5,3.4,1.57,1.57,6.5,1.57,3.6,-1.0,2.0,1.57,1.86,1.6,5.0,3.5,3.6,1.57,3.3,1.71,1.8,4.6,1.98,5.0,6.0,2.0,1.85,2.025,3.5,-1.0,-1.0,1.6,1.95,6.5,1.875,Newcastle,Portsmouth,Newcastle_Portsmouth_2004
163,3.2,2.4,3.0,2.65,2.6,2.55,2.75,3.15,0.0,1.8,2.5,2.06,2.55,2.55,3.2,3.2,2.6,3.1,1.95,2.0,2.5,1.78,2.5,2.6,1.75,1.75,1.775,3.2,0.0,0.25,2.5,2.0,2.5,2.125,Norwich,Bolton,Norwich_Bolton_2004
164,3.2,2.2,3.0,2.85,2.8,2.4,2.87,3.2,0.0,1.7,2.75,2.1,2.9,2.25,3.2,3.2,2.88,3.2,1.95,2.1,2.3,1.74,2.25,2.4,1.75,2.05,1.775,3.2,0.0,0.0,2.7,1.75,2.4,2.125,Southampton,Middlesbrough,Southampton_Middlesbrough_2004
165,3.2,2.5,3.0,2.5,2.5,2.7,2.5,3.2,0.0,1.66,2.5,1.72,2.2,3.0,3.1,3.2,2.5,3.1,1.95,2.15,2.5,2.12,2.5,2.7,1.75,1.75,2.125,3.2,0.0,0.0,2.5,2.05,2.8,1.775,West Brom,Charlton,West Brom_Charlton_2004
166,2.88,2.8,2.9,2.7,2.3,3.0,2.5,3.15,-0.25,1.7,2.5,2.14,2.25,2.95,3.1,3.1,2.5,3.0,1.95,2.1,2.7,1.78,2.62,2.8,1.75,1.97,1.775,3.33,-0.25,-0.25,2.4,1.83,2.8,2.125,Arsenal,Chelsea,Arsenal_Chelsea_2004
167,3.2,4.0,3.1,1.97,1.83,3.75,2.0,3.2,-0.5,1.61,1.8,1.98,1.9,3.8,3.1,3.25,1.91,3.0,2.05,2.25,3.5,1.86,4.0,4.0,1.65,1.97,1.925,3.3,-0.5,-0.5,1.9,1.76,4.0,1.975,Aston Villa,Birmingham,Aston Villa_Birmingham_2004
168,3.6,1.53,3.4,5.75,5.5,1.6,6.5,3.5,0.75,1.9,6.5,,5.2,1.6,3.5,3.6,5.5,3.5,1.85,1.9,1.6,,1.44,1.62,1.85,1.75,1.725,3.6,,1.0,4.6,2.0,1.57,2.175,Fulham,Man United,Fulham_Man United_2004
169,3.6,6.0,3.8,1.47,1.5,7.5,1.44,3.7,-1.25,1.85,1.44,1.94,1.45,7.0,4.0,3.75,1.5,3.4,1.9,1.95,5.4,1.9,6.5,7.0,1.79,2.0,1.95,3.75,-1.25,-1.25,1.45,1.8,7.5,1.95,Liverpool,Portsmouth,Liverpool_Portsmouth_2004
170,3.2,4.2,3.1,1.8,1.8,4.7,1.8,3.2,-0.75,1.66,1.73,1.96,1.7,5.0,3.1,3.3,1.73,3.0,2.05,2.15,3.8,1.88,4.33,5.0,1.65,1.95,1.9,3.25,-0.75,-0.75,1.8,1.85,5.0,2.0,Birmingham,West Brom,Birmingham_West Brom_2004
171,3.2,2.25,3.0,2.85,2.8,2.4,2.75,3.2,0.0,1.66,2.8,2.02,2.9,2.25,3.2,3.2,2.88,3.1,2.05,2.15,2.3,1.82,2.2,2.38,1.65,2.0,1.8,3.25,0.0,0.0,2.7,1.8,2.5,2.1,Blackburn,Everton,Blackburn_Everton_2004
172,3.2,3.2,3.0,2.2,2.0,3.2,2.2,3.2,-0.25,1.8,2.0,1.84,2.1,3.2,3.2,3.25,2.1,3.2,2.0,2.0,3.1,2.0,3.2,3.4,1.71,1.85,2.075,3.25,-0.25,-0.25,2.1,1.95,3.25,1.825,Bolton,Man City,Bolton_Man City_2004
173,5.5,12.0,4.8,1.2,1.16,16.0,1.16,5.4,-1.75,2.1,1.17,1.84,1.2,12.0,6.5,6.0,1.17,5.5,1.65,1.7,9.5,2.0,12.0,17.0,2.05,1.8,2.05,5.5,-1.75,-1.75,1.22,2.0,15.0,1.85,Chelsea,Norwich,Chelsea_Norwich_2004
174,5.5,10.0,4.8,1.23,1.22,13.0,1.22,5.4,-1.75,2.05,1.17,1.92,1.2,12.0,5.5,5.5,1.22,4.8,1.6,1.75,9.5,2.0,12.0,12.0,2.15,1.9,2.0,5.25,-1.75,-1.75,1.22,1.9,13.0,1.9,Man United,Crystal Palace,Man United_Crystal Palace_2004
175,3.2,3.5,3.1,2.0,1.9,3.6,1.9,3.15,-0.25,1.75,1.83,2.0,2.0,3.5,3.1,3.25,1.91,3.2,1.95,2.05,3.5,1.84,3.75,4.0,1.75,2.0,2.175,3.3,-0.5,-0.5,1.9,1.72,4.33,1.725,Middlesbrough,Aston Villa,Middlesbrough_Aston Villa_2004
176,3.25,4.2,3.2,1.75,1.72,5.0,1.72,3.25,-0.75,1.8,1.62,2.06,1.75,4.5,3.4,3.3,1.73,3.25,1.95,2.0,4.2,1.78,5.0,5.0,1.75,1.75,1.8,3.25,-0.75,-0.5,1.7,1.97,5.0,2.1,Tottenham,Southampton,Tottenham_Southampton_2004
177,3.4,3.75,3.2,1.91,1.83,4.2,1.9,3.25,-0.5,1.75,1.73,1.94,1.75,4.5,3.1,3.25,1.83,3.2,1.95,2.05,4.0,1.9,4.0,4.33,1.75,1.91,1.95,3.2,-0.5,-0.5,1.75,1.82,4.33,1.95,Liverpool,Newcastle,Liverpool_Newcastle_2004
178,3.5,1.53,3.3,6.0,5.5,1.6,6.5,3.5,1.0,2.0,5.0,1.92,5.25,1.6,3.5,3.4,6.0,3.5,1.85,1.8,1.65,1.92,1.57,1.62,1.85,1.9,2.0,3.5,1.0,1.0,4.4,1.9,1.57,1.9,Portsmouth,Arsenal,Portsmouth_Arsenal_2004
179,3.2,3.5,3.0,2.05,1.9,3.6,2.0,3.15,-0.25,1.7,1.91,2.1,2.0,3.5,3.2,3.25,2.1,3.2,2.05,2.1,3.1,1.75,3.5,3.4,1.65,1.7,2.025,3.2,-0.5,-0.25,2.1,2.05,3.75,1.875,Charlton,Fulham,Charlton_Fulham_2004
180,4.5,9.5,4.5,1.26,1.22,12.0,1.25,5.0,-1.5,2.25,1.25,1.86,1.25,10.0,5.0,4.75,1.29,5.0,2.15,1.61,9.0,1.98,10.0,11.0,1.6,1.8,2.05,5.0,-1.5,-1.5,1.25,2.0,13.0,1.85,Arsenal,Fulham,Arsenal_Fulham_2004
181,3.0,2.5,2.9,2.55,2.5,2.65,2.62,3.1,0.0,1.75,2.38,1.82,2.4,2.75,3.2,3.2,2.6,3.1,1.75,2.05,2.7,2.02,2.75,2.6,1.95,1.8,2.075,3.25,0.0,0.0,2.4,2.0,2.62,1.825,Birmingham,Middlesbrough,Birmingham_Middlesbrough_2004
182,3.2,2.37,2.9,2.6,2.62,2.6,2.6,3.1,0.0,1.8,2.5,1.88,2.4,2.75,3.25,3.2,2.6,3.1,1.79,2.0,2.7,1.96,2.5,2.6,1.9,1.85,1.975,3.2,0.0,0.0,2.4,1.95,2.6,1.925,Blackburn,Newcastle,Blackburn_Newcastle_2004
183,4.0,8.5,4.3,1.3,1.28,10.0,1.3,4.5,-1.5,2.1,1.3,1.88,1.3,9.0,4.5,4.75,1.29,4.33,2.05,1.7,8.5,2.04,9.0,11.0,1.65,1.85,2.0,4.75,-1.5,-1.5,1.27,1.95,12.0,1.9,Chelsea,Aston Villa,Chelsea_Aston Villa_2004
184,3.2,2.62,2.9,2.5,2.37,2.72,2.5,3.15,0.0,1.7,2.38,1.8,2.35,2.8,3.2,3.25,2.4,3.1,1.75,2.1,2.7,2.04,2.6,2.8,1.95,1.8,2.075,3.2,0.0,0.0,2.4,2.0,2.75,1.825,Crystal Palace,Portsmouth,Crystal Palace_Portsmouth_2004
185,3.2,3.75,3.1,1.95,1.83,3.9,1.9,3.2,-0.5,1.6,1.8,2.06,1.8,4.3,3.25,3.25,1.91,3.2,1.71,2.3,3.6,1.78,4.0,4.0,2.0,1.95,1.8,3.25,-0.5,-0.5,1.85,1.77,4.0,2.1,Everton,Man City,Everton_Man City_2004
186,4.33,8.0,4.0,1.33,1.33,9.5,1.28,4.2,1.25,2.3,1.29,2.02,1.35,8.25,5.0,4.5,1.33,4.0,2.15,1.6,7.0,1.82,9.0,9.0,1.6,1.95,2.125,4.5,-1.5,-1.5,1.35,1.85,10.0,1.775,Man United,Bolton,Man United_Bolton_2004
187,3.2,2.25,3.0,2.85,2.75,2.4,3.0,3.1,0.25,1.7,2.75,2.12,2.75,2.4,3.25,3.25,2.9,3.2,1.71,2.1,2.2,1.72,2.25,2.3,2.0,2.1,1.925,3.25,0.0,0.0,2.9,1.75,2.3,1.925,Norwich,Tottenham,Norwich_Tottenham_2004
188,3.25,2.62,2.9,2.4,2.37,2.85,2.6,3.1,0.0,1.75,2.4,1.74,2.25,3.0,3.25,3.25,2.4,3.1,1.75,2.05,2.7,2.1,2.5,2.8,1.95,1.75,2.175,3.25,0.0,0.0,2.4,2.1,2.6,1.725,Southampton,Charlton,Southampton_Charlton_2004
189,3.4,1.66,3.2,5.75,4.5,1.67,5.5,3.3,0.75,1.75,6.0,2.06,5.15,1.65,3.4,3.6,6.0,3.3,1.75,2.05,1.7,1.78,1.5,1.57,1.95,2.0,1.825,3.3,0.75,0.75,4.2,1.8,1.66,2.075,West Brom,Liverpool,West Brom_Liverpool_2004
190,3.4,1.8,3.2,4.5,3.75,1.8,4.75,3.2,0.5,1.8,4.0,2.08,4.0,1.85,3.5,3.4,4.2,3.3,2.0,2.0,1.7,1.76,1.73,1.83,1.71,1.9,1.8,3.3,0.5,0.5,4.2,1.8,1.72,2.1,Aston Villa,Man United,Aston Villa_Man United_2004
191,3.2,3.5,2.9,1.95,1.9,3.75,2.0,3.05,-0.5,1.75,1.91,2.06,1.9,4.0,3.2,3.25,1.91,3.2,2.0,2.05,3.0,1.78,3.5,4.0,1.71,2.0,1.775,3.3,-0.5,-0.5,2.2,1.74,3.75,2.125,Bolton,Blackburn,Bolton_Blackburn_2004
192,3.2,2.5,3.0,2.6,2.5,2.6,2.62,3.2,-0.25,1.65,2.25,1.8,2.5,2.55,3.2,3.2,2.6,3.1,2.05,2.2,2.5,2.04,2.75,2.6,1.65,1.8,1.75,3.25,0.0,0.0,2.5,2.0,2.6,2.15,Charlton,Everton,Charlton_Everton_2004
193,3.2,2.75,2.9,2.3,2.25,3.0,2.37,3.1,-0.25,1.65,2.2,2.06,2.2,3.1,3.2,3.25,2.3,3.2,2.05,2.2,2.7,1.78,2.8,3.0,1.65,1.7,1.8,3.2,-0.25,0.0,2.4,2.05,2.9,2.1,Fulham,Birmingham,Fulham_Birmingham_2004
194,3.75,8.0,4.0,1.36,1.36,9.0,1.36,4.5,-1.5,2.0,1.33,2.04,1.3,9.0,4.33,4.2,1.36,3.75,1.71,1.8,7.0,1.8,9.0,9.0,2.0,1.91,1.875,4.33,-1.5,-1.5,1.35,1.65,9.0,2.025,Liverpool,Southampton,Liverpool_Southampton_2004
