,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,7,0,2,2,6,0,E0,D,M Riley,Bolton,2,0,Aston Villa,14,13,3,2,2,8,16,2,13/08/2005,D,Aston Villa_Bolton_2005
1,8,0,2,0,5,0,E0,A,G Poll,Man United,5,3,Everton,15,12,10,1,0,6,14,1,13/08/2005,A,Everton_Man United_2005
2,6,0,0,0,4,0,E0,D,R Styles,Birmingham,7,1,Fulham,12,7,15,0,0,6,13,2,13/08/2005,D,Fulham_Birmingham_2005
3,3,0,0,0,3,0,E0,D,C Foy,West Brom,8,2,Man City,13,13,15,0,0,6,11,3,13/08/2005,D,Man City_West Brom_2005
4,5,1,0,0,7,0,E0,D,M Halsey,Liverpool,2,2,Middlesbrough,17,16,4,0,0,0,11,3,13/08/2005,D,Middlesbrough_Liverpool_2005
5,7,0,2,0,6,0,E0,A,B Knight,Tottenham,7,0,Portsmouth,13,11,11,1,0,2,23,2,13/08/2005,A,Portsmouth_Tottenham_2005
6,5,0,3,1,4,1,E0,D,H Webb,Charlton,8,2,Sunderland,15,14,12,1,1,5,17,0,13/08/2005,A,Sunderland_Charlton_2005
7,2,0,1,0,5,1,E0,A,A Wiley,Blackburn,5,0,West Ham,11,11,13,1,3,6,14,1,13/08/2005,H,West Ham_Blackburn_2005
8,8,0,0,0,1,1,E0,D,S Bennett,Newcastle,12,0,Arsenal,15,2,15,0,2,3,17,1,14/08/2005,H,Arsenal_Newcastle_2005
9,2,0,1,0,9,0,E0,D,M Clattenburg,Chelsea,5,1,Wigan,14,20,12,0,0,6,7,0,14/08/2005,A,Wigan_Chelsea_2005
10,9,0,2,1,6,0,E0,D,M Clattenburg,Man City,2,3,Birmingham,7,9,9,1,1,4,12,1,20/08/2005,A,Birmingham_Man City_2005
11,8,0,1,1,4,0,E0,H,H Webb,Fulham,9,2,Blackburn,26,8,16,0,2,1,14,2,20/08/2005,H,Blackburn_Fulham_2005
12,4,0,0,1,0,0,E0,H,R Styles,Wigan,10,0,Charlton,10,4,21,0,1,4,11,1,20/08/2005,H,Charlton_Wigan_2005
